Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
France,18/12/1957,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/1/1958,11/12/1953,,,X,X,,,,,
Georgia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Germany,24/8/1956,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/1956,11/12/1953,,,X,X,,,,,
Greece,29/5/1961,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/6/1961,11/12/1953,,,X,,,,,,
Hungary,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Iceland,4/12/1964,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/1/1965,11/12/1953,,,X,,,,,,
Ireland,31/3/1954,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/7/1954,11/12/1953,,,X,,,,,,
Italy,26/8/1958,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/1958,11/12/1953,,,X,X,,,,,
Latvia,13/8/2001,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/2001,13/4/2000,,,X,X,,,,,
Liechtenstein,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Lithuania,18/11/1999,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/12/1999,19/11/1997,,,X,,,,,,
Luxembourg,18/11/1958,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/12/1958,11/12/1953,,,X,X,,,,,
Malta,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Moldova,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Monaco,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Montenegro,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Netherlands,11/3/1955,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/4/1955,11/12/1953,,,X,,,,,,
Norway,9/9/1954,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,X,X,,,,,
Poland,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Portugal,21/4/1978,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1978,27/4/1977,,,X,,,,,,
Romania,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Russia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
San Marino,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Serbia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovakia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovenia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Spain,15/1/1987,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/2/1987,9/2/1981,,,X,,,,,,
Sweden,2/9/1955,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1955,11/12/1953,,,X,,,,,,
Switzerland,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Macedonia,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Turkey,14/4/1967,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1967,11/12/1953,,,X,,,,,,
Ukraine,,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
United Kingdom,7/9/1954,"European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,X,X,,,,,
Albania,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Andorra,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Armenia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Austria,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Azerbaijan,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Belgium,3/4/1957,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1957,11/12/1953,,,,,,,,,
Bosnia and Herzegovina,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Bulgaria,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Croatia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Cyprus,14/3/1973,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/4/1973,3/3/1972,,,,,,,,,
Czech Republic,8/9/2000,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/2000,25/2/1998,,,X,,,,,,
Denmark,5/5/1965,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/6/1965,4/3/1965,,,,,,,,,
Estonia,17/4/2002,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/2002,1/12/1999,,,,,,,,,
Finland,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
France,18/12/1957,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/1/1958,11/12/1953,,,,,,,,,
Georgia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Germany,24/8/1956,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/1956,11/12/1953,,,,,,,,,
Greece,29/9/1961,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1961,11/12/1953,,,,,,,,,
Hungary,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Iceland,4/12/1964,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/1/1965,11/12/1953,,,,,,,,,
Ireland,31/3/1954,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Italy,26/8/1958,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/1958,11/12/1953,,,,,,,,,
Latvia,13/8/2001,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/9/2001,13/4/2000,,,,,,,,,
Liechtenstein,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Lithuania,18/11/1999,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/12/1999,19/11/1997,,,X,,,,,,
Luxembourg,18/11/1958,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/12/1958,11/12/1953,,,,,,,,,
Malta,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Moldova,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Monaco,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Montenegro,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Netherlands,11/3/1955,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/4/1955,11/12/1953,,,,,,,,,
Norway,9/9/1954,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Poland,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Portugal,21/4/1978,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1978,27/4/1977,,,,,,,,,
Romania,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Russia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
San Marino,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Serbia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovakia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Slovenia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Spain,15/1/1987,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/2/1987,9/2/1981,,,,,,,,,
Sweden,2/9/1955,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1955,11/12/1953,,,,,,,,,
Switzerland,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Macedonia,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
Turkey,14/4/1967,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/5/1967,11/12/1953,,,,,,,,,
Ukraine,,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",,,,,,,,,,,
United Kingdom,7/9/1954,"Protocol to the European Interim Agreement on Social Security other than Schemes for Old Age, Invalidity and Survivors",1/10/1954,11/12/1953,,,,,,,,,
Albania,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Andorra,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Armenia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Austria,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Azerbaijan,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Belgium,24/7/1956,European Convention on Social and Medical Assistance,1/8/1956,11/12/1953,,,X,X,,,,,
Bosnia and Herzegovina,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Bulgaria,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Croatia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Cyprus,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Czech Republic,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Denmark,30/6/1954,European Convention on Social and Medical Assistance,1/7/1954,11/12/1953,,,X,,,,,,
Estonia,20/7/2004,European Convention on Social and Medical Assistance,1/8/2004,1/12/1999,,,X,,,,,,
Finland,,European Convention on Social and Medical Assistance,,,,,,,,,,,
France,30/10/1957,European Convention on Social and Medical Assistance,1/11/1957,11/12/1953,,,X,,,,,,
Georgia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Germany,24/8/1956,European Convention on Social and Medical Assistance,1/9/1956,11/12/1953,,,X,X,,,,,
Greece,23/6/1960,European Convention on Social and Medical Assistance,1/7/1960,11/12/1953,,,X,,,,,,
Hungary,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Iceland,4/12/1964,European Convention on Social and Medical Assistance,1/1/1965,11/12/1953,,,X,,,,,,
Ireland,31/3/1954,European Convention on Social and Medical Assistance,1/7/1954,11/12/1953,,,X,,,,,,
Italy,1/7/1958,European Convention on Social and Medical Assistance,1/8/1958,11/12/1953,,,X,,,,,,
Latvia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Liechtenstein,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Lithuania,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Luxembourg,18/11/1958,European Convention on Social and Medical Assistance,1/12/1958,11/12/1953,,,X,X,,,,,
Malta,6/5/1969,European Convention on Social and Medical Assistance,1/6/1969,7/5/1968,,,X,,,,,,
Moldova,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Monaco,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Montenegro,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Netherlands,20/7/1955,European Convention on Social and Medical Assistance,1/8/1955,11/12/1953,,,X,,,,,,
Norway,9/9/1954,European Convention on Social and Medical Assistance,1/10/1954,11/12/1953,,,X,X,,,,,
Poland,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Portugal,4/7/1978,European Convention on Social and Medical Assistance,1/8/1978,27/4/1977,,,X,,,,,,
Romania,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Russia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
San Marino,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Serbia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Slovakia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Slovenia,,European Convention on Social and Medical Assistance,,,,,,,,,,,
Spain,21/11/1983,European Convention on Social and Medical Assistance,1/12/1983,9/2/1981,,,X,,,,,,
Sweden,2/9/1955,European Convention on Social and Medical Assistance,1/10/1955,11/12/1953,,,X,,,,,,
Switzerland,,European Convention on Social and Medical Assistance,,,,,,,,,,,
